#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,5.19E-03
4.00E-02,2.97E-03
6.00E-02,2.14E-03
8.00E-02,1.70E-03
1.00E-01,1.42E-03
1.20E-01,1.23E-03
1.40E-01,1.09E-03
1.60E-01,9.85E-04
1.80E-01,9.01E-04
2.00E-01,8.32E-04
2.20E-01,7.76E-04
2.40E-01,7.28E-04
2.60E-01,6.88E-04
2.80E-01,6.53E-04
3.00E-01,6.22E-04
3.20E-01,5.95E-04
3.40E-01,5.71E-04
3.60E-01,5.50E-04
3.80E-01,5.31E-04
4.00E-01,5.14E-04
4.20E-01,4.98E-04
4.40E-01,4.84E-04
4.60E-01,4.71E-04
4.80E-01,4.58E-04
5.00E-01,4.47E-04
5.20E-01,4.37E-04
5.40E-01,4.28E-04
5.60E-01,4.19E-04
5.80E-01,4.11E-04
6.00E-01,4.03E-04
6.20E-01,3.96E-04
6.40E-01,3.89E-04
6.60E-01,3.83E-04
6.80E-01,3.77E-04
7.00E-01,3.71E-04
7.20E-01,3.66E-04
7.40E-01,3.61E-04
7.60E-01,3.56E-04
7.80E-01,3.51E-04
8.00E-01,3.47E-04
8.20E-01,3.43E-04
8.40E-01,3.39E-04
8.60E-01,3.36E-04
8.80E-01,3.32E-04
9.00E-01,3.29E-04
9.20E-01,3.26E-04
9.40E-01,3.23E-04
9.60E-01,3.20E-04
9.80E-01,3.17E-04
1.00E+00,3.14E-04
1.02E+00,3.12E-04
1.04E+00,3.09E-04
1.06E+00,3.07E-04
1.08E+00,3.05E-04
1.10E+00,3.02E-04
1.12E+00,3.00E-04
1.14E+00,2.98E-04
1.16E+00,2.96E-04
1.18E+00,2.95E-04
1.20E+00,2.93E-04
1.22E+00,2.91E-04
1.24E+00,2.89E-04
1.26E+00,2.88E-04
1.28E+00,2.86E-04
1.30E+00,2.85E-04
1.32E+00,2.83E-04
1.34E+00,2.82E-04
1.36E+00,2.81E-04
1.38E+00,2.79E-04
1.40E+00,2.78E-04
1.42E+00,2.77E-04
1.44E+00,2.76E-04
1.46E+00,2.74E-04
1.48E+00,2.73E-04
1.50E+00,2.72E-04
1.52E+00,2.71E-04
1.54E+00,2.70E-04
1.56E+00,2.69E-04
1.58E+00,2.68E-04
1.60E+00,2.67E-04
1.62E+00,2.67E-04
1.64E+00,2.66E-04
1.66E+00,2.65E-04
1.68E+00,2.64E-04
1.70E+00,2.63E-04
1.72E+00,2.62E-04
1.74E+00,2.62E-04
1.76E+00,2.61E-04
1.78E+00,2.60E-04
1.80E+00,2.60E-04
1.82E+00,2.59E-04
1.84E+00,2.58E-04
1.86E+00,2.58E-04
1.88E+00,2.57E-04
1.90E+00,2.56E-04
1.92E+00,2.56E-04
1.94E+00,2.55E-04
1.96E+00,2.55E-04
1.98E+00,2.54E-04
2.00E+00,2.54E-04
