#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,6.66E-01
4.00E-02,3.82E-01
6.00E-02,2.78E-01
8.00E-02,2.23E-01
1.00E-01,1.88E-01
1.20E-01,1.65E-01
1.40E-01,1.48E-01
1.60E-01,1.35E-01
1.80E-01,1.25E-01
2.00E-01,1.16E-01
2.20E-01,1.10E-01
2.40E-01,1.04E-01
2.60E-01,9.91E-02
2.80E-01,9.49E-02
3.00E-01,9.13E-02
3.20E-01,8.82E-02
3.40E-01,8.54E-02
3.60E-01,8.29E-02
3.80E-01,8.07E-02
4.00E-01,7.88E-02
4.20E-01,7.70E-02
4.40E-01,7.53E-02
4.60E-01,7.39E-02
4.80E-01,7.25E-02
5.00E-01,7.13E-02
5.20E-01,7.02E-02
5.40E-01,6.91E-02
5.60E-01,6.82E-02
5.80E-01,6.73E-02
6.00E-01,6.65E-02
6.20E-01,6.57E-02
6.40E-01,6.50E-02
6.60E-01,6.43E-02
6.80E-01,6.37E-02
7.00E-01,6.31E-02
7.20E-01,6.26E-02
7.40E-01,6.21E-02
7.60E-01,6.16E-02
7.80E-01,6.12E-02
8.00E-01,6.07E-02
8.20E-01,6.03E-02
8.40E-01,6.00E-02
8.60E-01,5.96E-02
8.80E-01,5.93E-02
9.00E-01,5.90E-02
9.20E-01,5.87E-02
9.40E-01,5.84E-02
9.60E-01,5.81E-02
9.80E-01,5.79E-02
1.00E+00,5.76E-02
1.02E+00,5.74E-02
1.04E+00,5.72E-02
1.06E+00,5.70E-02
1.08E+00,5.68E-02
1.10E+00,5.66E-02
1.12E+00,5.64E-02
1.14E+00,5.63E-02
1.16E+00,5.61E-02
1.18E+00,5.60E-02
1.20E+00,5.58E-02
1.22E+00,5.57E-02
1.24E+00,5.56E-02
1.26E+00,5.54E-02
1.28E+00,5.53E-02
1.30E+00,5.52E-02
1.32E+00,5.51E-02
1.34E+00,5.50E-02
1.36E+00,5.49E-02
1.38E+00,5.48E-02
1.40E+00,5.47E-02
1.42E+00,5.47E-02
1.44E+00,5.46E-02
1.46E+00,5.45E-02
1.48E+00,5.44E-02
1.50E+00,5.44E-02
1.52E+00,5.43E-02
1.54E+00,5.42E-02
1.56E+00,5.42E-02
1.58E+00,5.41E-02
1.60E+00,5.41E-02
1.62E+00,5.40E-02
1.64E+00,5.40E-02
1.66E+00,5.39E-02
1.68E+00,5.39E-02
1.70E+00,5.39E-02
1.72E+00,5.38E-02
1.74E+00,5.38E-02
1.76E+00,5.38E-02
1.78E+00,5.37E-02
1.80E+00,5.37E-02
1.82E+00,5.37E-02
1.84E+00,5.37E-02
1.86E+00,5.36E-02
1.88E+00,5.36E-02
1.90E+00,5.36E-02
1.92E+00,5.36E-02
1.94E+00,5.35E-02
1.96E+00,5.35E-02
1.98E+00,5.35E-02
2.00E+00,5.35E-02
